"trial","ref_position","var_area","response","correct","rt"
1,"R",9.96688329032622,"R",FALSE,18.7369999885559
2,"L",14.2526751928963,"R",TRUE,6.47099995613098
3,"R",11.7122550832573,"L",TRUE,4.06100010871887
4,"L",10.039667495992,"R",TRUE,1.53699994087219
5,"L",12.247750221286,"R",TRUE,1.43200016021729
6,"R",11.8652202154044,"L",TRUE,1.8439998626709
7,"L",14.4686600349378,"R",TRUE,1.41499996185303
8,"L",10.3520918295253,"R",TRUE,2.06099987030029
9,"R",13.8349260005634,"L",TRUE,1.43299984931946
10,"R",9.65545539441518,"R",FALSE,2.15299987792969
11,"L",11.550763341831,"R",TRUE,2.16200017929077
12,"L",13.688117160229,"R",TRUE,2.59599995613098
13,"L",12.8605939224362,"R",TRUE,2.26999998092651
14,"L",13.1504035447724,"R",TRUE,2.28700017929077
15,"L",9.40420556324534,"L",FALSE,2.47100019454956
16,"L",12.5322926498484,"R",TRUE,1.42799997329712
17,"L",9.87370277429,"R",TRUE,2.79500007629395
18,"L",13.153808030067,"R",TRUE,1.43799996376038
19,"L",11.0048219566233,"R",TRUE,1.42200016975403
20,"R",8.12540648621507,"L",FALSE,0.915000200271606
21,"L",12.4320128182881,"R",TRUE,1.10800004005432
22,"L",14.5133484257385,"R",TRUE,2.47699999809265
23,"L",14.069233688293,"R",TRUE,1.94999980926514
24,"R",12.5411410203669,"L",TRUE,1.85300016403198
